route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
29,250901-MULTI-Weekday-01,24627207-250901-MULTI-Weekday-01,"29A WILLIAMS EAST",0,1166871,290066,1,1
23,250901-MULTI-Weekday-01,24627208-250901-MULTI-Weekday-01,"23 SANDALWOOD EAST",0,1164508,230129,1,1
29,250901-MULTI-Weekday-01,24627209-250901-MULTI-Weekday-01,"29A WILLIAMS EAST",0,1166870,290066,1,1
29,250901-MULTI-Weekday-01,24627210-250901-MULTI-Weekday-01,"29A WILLIAMS WEST",1,1166870,290065,1,1
30,250901-MULTI-Weekday-01,24627211-250901-MULTI-Weekday-01,"30 AIRPORT ROAD NORTH",0,1164654,300086,1,1
30,250901-MULTI-Weekday-01,24627212-250901-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1164653,300077,1,1
30,250901-MULTI-Weekday-01,24627213-250901-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1164650,300083,1,1
30,250901-MULTI-Weekday-01,24627214-250901-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1164654,300083,1,1
30,250901-MULTI-Weekday-01,24627215-250901-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1164548,300083,1,1
30,250901-MULTI-Weekday-01,24627216-250901-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1164679,300083,1,1
30,250901-MULTI-Weekday-01,24627217-250901-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1164543,300083,1,1
30,250901-MULTI-Weekday-01,24627218-250901-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1164651,300083,1,1
30,250901-MULTI-Weekday-01,24627219-250901-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1164652,300083,1,1
30,250901-MULTI-Weekday-01,24627220-250901-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1164545,300083,1,1
30,250901-MULTI-Weekday-01,24627221-250901-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1164654,300083,1,1
30,250901-MULTI-Weekday-01,24627222-250901-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1164653,300083,1,1
30,250901-MULTI-Weekday-01,24627223-250901-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1164549,300083,1,1
30,250901-MULTI-Weekday-01,24627224-250901-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1164650,300083,1,1
30,250901-MULTI-Weekday-01,24627225-250901-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1164652,300083,1,1
30,250901-MULTI-Weekday-01,24627226-250901-MULTI-Weekday-01,"30 AIRPORT ROAD SOUTH",1,1164548,300083,1,1
